City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,flin flon,54.7682,-101.865,6.54,86,80,2.24,CA,1696486057
1,ilulissat,69.2167,-51.1,-1.99,74,100,0.0,GL,1696486057
2,wailua homesteads,22.0669,-159.378,25.24,90,100,2.06,US,1696486058
3,east london,-33.0153,27.9116,23.89,64,89,3.41,ZA,1696486058
4,rio grande,-32.035,-52.0986,12.75,84,78,4.51,BR,1696486058
5,alaghsas,17.0187,8.0168,28.81,25,7,6.8,NE,1696486058
6,san jose del guaviare,2.5729,-72.6459,24.34,87,100,0.89,CO,1696486059
7,kodiak,57.79,-152.4072,8.73,87,100,11.32,US,1696486059
8,rome,34.257,-85.1647,19.58,85,0,1.34,US,1696485787
9,puerto ayora,-0.7393,-90.3518,21.97,99,52,3.19,EC,1696486059
10,iqaluit,63.7506,-68.5145,0.85,93,100,8.23,CA,1696486059
11,guarapari,-20.6667,-40.4975,24.38,92,62,7.2,BR,1696486060
12,jieshi,22.8134,115.8257,30.33,61,100,7.07,CN,1696486060
13,waitangi,-43.9535,-176.5597,10.46,90,43,1.79,NZ,1696486060
14,avarua,-21.2078,-159.775,25.03,88,100,10.29,CK,1696486047
15,cadale,2.7603,46.3222,27.47,74,64,5.66,SO,1696486060
16,san pedro pochutla,15.7333,-96.4667,24.37,88,54,1.67,MX,1696486061
17,bredasdorp,-34.5322,20.0403,16.22,94,100,1.42,ZA,1696486061
18,teruel,40.6667,-0.6667,14.21,57,2,1.77,ES,1696486061
19,grytviken,-54.2811,-36.5092,2.75,63,10,5.57,GS,1696486062
20,koszalin,54.1944,16.1722,12.76,75,100,9.46,PL,1696486062
21,whitehorse,60.7161,-135.0538,-2.33,73,52,1.34,CA,1696486062
22,suwayr,30.1171,40.3893,25.52,38,47,5.43,SA,1696486062
23,puerto natales,-51.7236,-72.4875,3.37,89,100,2.26,CL,1696486063
24,klyetsk,53.0635,26.6321,9.82,86,32,5.03,BY,1696486063
25,ialibu,-6.2821,143.9935,15.38,99,98,1.03,PG,1696486064
26,albany,42.6001,-73.9662,19.21,92,2,1.29,US,1696486035
27,klyuchi,52.2667,79.1667,15.53,30,93,2.56,RU,1696486064
28,edinburgh of the seven seas,-37.0676,-12.3116,10.28,67,95,3.89,SH,1696486064
29,minas de marcona,-15.2119,-75.1103,12.83,89,88,5.77,PE,1696486065
30,ghanzi,-21.5667,21.7833,24.74,14,5,5.3,BW,1696486065
31,utrik,11.2278,169.8474,28.68,77,66,7.11,MH,1696486065
32,constantia,44.1833,28.65,17.61,68,98,3.81,RO,1696485898
33,touros,-5.1989,-35.4608,26.23,66,56,5.45,BR,1696485994
34,wanning,18.8003,110.3967,31.31,65,80,3.27,CN,1696486066
35,atafu village,-8.5421,-172.5159,28.78,75,35,2.13,TK,1696486066
36,lihue,21.9789,-159.3672,25.58,88,100,2.06,US,1696486066
37,revda,56.801,59.9303,13.34,55,38,6.56,RU,1696486066
38,saint-joseph,-21.3667,55.6167,24.21,65,23,4.89,RE,1696486067
39,port-aux-francais,-49.35,70.2167,1.58,63,95,11.35,TF,1696486067
40,lethem,3.3803,-59.7968,27.45,61,27,3.65,GY,1696486067
41,jayapura,-2.5333,140.7,30.66,73,95,2.26,ID,1696486067
42,yellowknife,62.456,-114.3525,2.45,97,100,7.72,CA,1696486068
43,west island,-12.1568,96.8225,27.99,69,40,8.23,CC,1696486068
44,canguaretama,-6.38,-35.1289,25.16,69,59,4.49,BR,1696486068
45,port elizabeth,-33.918,25.5701,17.95,97,90,0.89,ZA,1696486068
46,haiku-pauwela,20.9219,-156.3051,25.02,79,20,3.09,US,1696485895
47,richards bay,-28.783,32.0377,21.87,79,63,1.24,ZA,1696486069
48,la'ie,21.6477,-157.9253,25.98,75,28,0.89,US,1696486069
49,kirakira,-10.4544,161.9205,27.04,81,64,5.97,SB,1696486069
50,kidal,18.4411,1.4078,29.75,28,85,2.99,ML,1696485948
51,ambon,-3.6954,128.1814,29.08,74,40,3.6,ID,1696486070
52,papatowai,-46.5619,169.4708,16.22,76,97,2.54,NZ,1696486070
53,olinda,-8.0089,-34.8553,25.85,69,40,3.09,BR,1696486070
54,kapuskasing,49.4169,-82.4331,17.27,88,97,4.67,CA,1696486070
55,northam,51.0333,-4.2167,13.7,93,100,4.43,GB,1696486071
56,college,64.8569,-147.8028,-0.67,80,0,3.6,US,1696485981
57,blackmans bay,-43.0167,147.3167,14.07,74,86,4.74,AU,1696485803
58,saint-pierre,-21.3393,55.4781,24.82,57,0,6.69,RE,1696486071
59,noshiro,40.2039,140.0242,15.29,89,94,9.94,JP,1696486071
60,saipan,15.1355,145.701,29.39,74,20,5.14,MP,1696486072
61,bel ombre,-4.6167,55.4167,26.7,84,24,7.89,SC,1696486072
62,ferkessedougou,9.6,-5.2,21.81,97,88,1.65,CI,1696486072
63,lebu,-37.6167,-73.65,8.33,87,3,4.44,CL,1696486072
64,ghormach,35.7306,63.7826,28.5,14,8,3.23,AF,1696486073
65,middelburg,-25.7751,29.4648,22.29,24,32,1.93,ZA,1696486073
66,ust-nera,64.5667,143.2,1.79,58,100,1.34,RU,1696486074
67,port alfred,-33.5906,26.891,20.8,88,99,4.34,ZA,1696486074
68,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1696486074
69,port mathurin,-19.6833,63.4167,23.22,79,62,9.12,MU,1696486074
70,orland,39.7474,-122.1964,24.17,49,0,3.23,US,1696486074
71,stanley,54.868,-1.6985,12.06,94,75,1.54,GB,1696486075
72,labytnangi,66.6572,66.4183,5.59,98,100,6.39,RU,1696486075
73,prainha,-1.8,-53.48,24.93,77,53,1.57,BR,1696486075
74,skelleftea,64.7507,20.9528,2.22,100,0,3.6,SE,1696486075
75,aktau,43.65,51.2,19.32,61,100,4.27,KZ,1696486075
76,kavaratti,10.5669,72.642,27.15,71,32,1.58,IN,1696486076
77,saint-philippe,-21.3585,55.7679,24.77,68,43,4.49,RE,1696486076
78,fortuna,40.5982,-124.1573,15.51,100,0,5.14,US,1696486076
79,puerto baquerizo moreno,-0.9,-89.6,22.07,86,44,4.25,EC,1696486076
80,harstad,68.799,16.5293,2.66,93,100,11.62,NO,1696486076
81,palmer,42.1584,-72.3287,18.76,84,0,0.0,US,1696486077
82,turrialba,9.9047,-83.6835,22.98,95,99,1.73,CR,1696486077
83,guerrero negro,27.9769,-114.0611,20.1,79,0,3.3,MX,1696486077
84,georgetown,5.4112,100.3354,31.77,96,40,1.54,MY,1696486077
85,colonia,50.9333,6.95,13.87,80,0,3.09,DE,1696485947
86,tazovsky,67.4667,78.7,1.89,85,83,2.53,RU,1696486078
87,villa union,23.2,-106.2333,27.17,89,75,0.0,MX,1696486078
88,kavieng,-2.5744,150.7967,28.46,77,95,5.58,PG,1696486078
89,tomatlan,19.9333,-105.25,24.43,95,87,1.75,MX,1696486078
90,san salvador,13.6894,-89.1872,22.15,100,86,0.77,SV,1696486079
91,margaret river,-33.95,115.0667,20.11,59,30,5.14,AU,1696485788
92,isafjordur,66.0755,-23.124,2.45,90,100,7.41,IS,1696486079
93,inhambane,-23.865,35.3833,23.99,64,20,4.12,MZ,1696486079
94,adamstown,-25.066,-130.1015,20.62,76,100,7.29,PN,1696486080
95,ambatondrazaka,-17.8333,48.4167,19.02,79,100,2.83,MG,1696486080
96,i-n-salah,27.1935,2.4607,25.18,26,0,9.03,DZ,1696485952
97,athens,37.9795,23.7162,21.43,64,20,2.06,GR,1696485787
98,fort st. john,56.2499,-120.8529,3.32,45,100,1.37,CA,1696486080
99,arteche,12.2645,125.4048,29.24,77,28,1.94,PH,1696486081
100,bend,44.0582,-121.3153,15.4,63,0,2.06,US,1696486069
101,uturoa,-16.7333,-151.4333,26.18,77,4,9.26,PF,1696486081
102,fort morgan,40.2503,-103.8,14.36,47,6,6.69,US,1696486081
103,iskateley,67.6803,53.1512,3.9,78,100,9.39,RU,1696486081
104,salinopolis,-0.6136,-47.3561,26.12,79,16,5.34,BR,1696486082
105,yigo village,13.5361,144.8886,25.62,89,100,6.69,GU,1696486082
106,ulladulla,-35.35,150.4667,17.09,34,24,5.98,AU,1696486082
107,jamestown,42.097,-79.2353,20.77,88,0,2.06,US,1696485831
108,ushuaia,-54.8,-68.3,4.12,93,100,4.47,AR,1696486083
109,rach gia,10.0167,105.0833,29.61,75,72,6.26,VN,1696486083
110,faya-largeau,17.9257,19.1043,29.02,29,58,10.38,TD,1696486083
111,vila velha,-20.3297,-40.2925,24.97,86,20,6.69,BR,1696486083
112,betio village,1.358,172.9211,28.96,69,100,0.18,KI,1696486084
113,ujae,8.9322,165.7642,28.56,79,100,6.55,MH,1696486084
114,bilibino,68.0546,166.4372,-13.36,91,6,1.96,RU,1696486084
115,malango,-2.9627,119.9001,30.34,45,14,2.84,ID,1696486084
116,tsagan aman,47.5639,46.7218,17.33,47,0,2.81,RU,1696486085
117,rubtsovsk,51.5,81.25,14.04,52,100,2.88,RU,1696486085
118,baardheere,2.3446,42.2764,26.08,68,93,6.63,SO,1696486085
119,aasiaat,68.7098,-52.8699,-7.51,80,87,3.97,GL,1696486085
120,qaqortoq,60.7167,-46.0333,1.32,57,11,2.16,GL,1696486086
121,olonkinbyen,70.9221,-8.7187,0.15,65,98,8.25,SJ,1696486086
122,boende,-0.2167,20.8667,22.38,97,96,0.78,CD,1696486086
123,kulu,39.0951,33.0799,14.18,49,0,2.57,TR,1696486086
124,laojunmiao,39.8333,97.7333,13.24,50,100,2.45,CN,1696486087
125,lepsy,46.235,78.9456,19.03,34,3,4.17,KZ,1696486087
126,north bay,46.3168,-79.4663,21.17,76,0,4.12,CA,1696485960
127,haenam,34.5711,126.5989,18.43,44,27,8.97,KR,1696486087
128,talnakh,69.4865,88.3972,-1.96,93,94,2.85,RU,1696486088
129,knottsville,37.7717,-86.9042,20.42,57,100,2.27,US,1696486088
130,bastad,56.4269,12.8534,13.31,88,40,11.32,SE,1696486088
131,bethel,41.3712,-73.414,17.62,88,0,0.67,US,1696486088
132,vadso,70.0744,29.7487,4.09,75,40,10.8,NO,1696486089
133,vila franca do campo,37.7167,-25.4333,22.23,93,73,6.41,PT,1696486089
134,ribeira grande,38.5167,-28.7,22.65,94,100,8.94,PT,1696486089
135,novyy urengoy,66.0833,76.6333,2.86,93,100,3.72,RU,1696486089
136,hammerfest,70.6634,23.6821,3.25,81,75,6.17,NO,1696486090
137,carnarvon,-24.8667,113.6333,24.65,47,0,6.45,AU,1696486090
138,tianpeng,30.9866,103.9393,20.26,76,100,1.27,CN,1696485936
139,sola,-13.8833,167.55,25.66,76,92,11.05,VU,1696486090
140,hithadhoo,-0.6,73.0833,27.73,76,58,4.26,MV,1696486091
141,tual,-5.6667,132.75,26.55,81,88,6.44,ID,1696486091
142,gumla,23.05,84.55,28.86,68,82,3.57,IN,1696486091
143,ceelbuur,4.685,46.6176,28.18,67,75,6.66,SO,1696486091
144,qianzhou,28.3167,109.7167,18.31,89,100,2.47,CN,1696486092
145,schweizer-reneke,-27.1887,25.3293,24.34,17,16,6.58,ZA,1696486092
